name,type,count,width,length,multiplier,segments,seg_length,seg_width,ft_hz,area_p,include_in_ppa
CIN,capacitor,1,11.5u,11.7u,1,,,,,,true
RBIN,resistor,1,,,,1,5.73u,0.35u,,,true
RREF,resistor,1,,,,1,5.73u,0.35u,,,true
QINP,npn,2,,,,,,,,,true
QINN,npn,2,,,,,,,,,true
RTAIL,resistor,1,,,,1,5.73u,0.35u,,,true
QPL,pnp,2,,,,,,,,,true
QPR,pnp,2,,,,,,,,,true
RDC,resistor,1,,,,1,5.73u,0.35u,,,true
CDOM,capacitor,1,11.5u,11.7u,1,,,,,,true
QBUF,npn,4,,,,,,,,,true
ROUT,resistor,1,,,,1,5.73u,0.35u,,,true
COUT,capacitor,1,11.5u,11.7u,1,,,,,,true
